Title,URL,Number of signatures,Over 100k signitures,Issues,Creator,Published date
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.",https://petitions.whitehouse.gov/petition/removal-rashida-tlaib-d-mi-office-do-inappropriate-and-unstable-actions-becoming-congresswoman,"144,659",True,"Civil Rights & Equality, Homeland Security & Defense",R.L.,"January 04, 2019"
ARREST THE KILLERS OF BREONNA TAYLOR,https://petitions.whitehouse.gov/petition/arrest-killers-breonna-taylor,"144,100",True,"Civil Rights & Equality, Criminal Justice Reform",D.S.,"July 26, 2020"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,https://petitions.whitehouse.gov/petition/donald-trump-resign-president-united-states-violation-emoluments-clause-release-your-tax-returns,"144,081",True,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform",F.C.,"January 20, 2017"
Tell Congress the American People need The Emergency Money for the People Act to pass.,https://petitions.whitehouse.gov/petition/tell-congress-american-people-need-emergency-money-people-act-pass,"139,167",True,Economy & Jobs,M.J.,"April 15, 2020"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.",https://petitions.whitehouse.gov/petition/jdcominc-inducing-consumers-which-leads-millions-people-have-been-cheated-tens-billions-dollars-0,"137,466",True,"Criminal Justice Reform, Economy & Jobs",R.H.,"June 30, 2018"
Revoke the visas of Chinese college students who disrupted the otherwise peaceful pro-Hong Kong protests,https://petitions.whitehouse.gov/petition/revoke-visas-chinese-college-students-who-disrupted-otherwise-peaceful-pro-hong-kong-protests,"136,217",True,"Civil Rights & Equality, Foreign Policy, Homeland Security & Defense",K.C.,"August 20, 2019"
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,https://petitions.whitehouse.gov/petition/extradition-law-amendment-hong-kong-threat-personal-safety-and-freedom,"135,182",True,"Civil Rights & Equality, Foreign Policy",D.L.,"May 15, 2019"
Please send US Armed force to Hong Kong to rescue citizens from the massacre carried out by the Hong Kong Police Force.,https://petitions.whitehouse.gov/petition/please-send-us-armed-force-hong-kong-rescue-citizens-massacre-carried-out-hong-kong-police-force,"134,834",True,"Civil Rights & Equality, Foreign Policy, Gun Violence",A.H.,"September 11, 2019"
Protect Free Speech in the Digital Public Square,https://petitions.whitehouse.gov/petition/protect-free-speech-digital-public-square-0,"133,859",True,"Civil Rights & Equality, Technology & Innovation",W.C.,"August 28, 2018"
The conservatorship and civil liberties of Britney Spears.,https://petitions.whitehouse.gov/petition/conservatorship-and-civil-liberties-britney-spears,"133,822",True,Civil Rights & Equality,M.J.,"July 09, 2020"
Please expose the truths and punish brutality to youngsters in San Uk Ling Holding Centre in Hong Kong.,https://petitions.whitehouse.gov/petition/please-expose-truths-and-punish-brutality-youngsters-san-uk-ling-holding-centre-hong-kong,"131,464",True,"Civil Rights & Equality, Government & Regulatory Reform",A.H.,"September 16, 2019"
Hong Kong Universal Suffrage Plan,https://petitions.whitehouse.gov/petition/hong-kong-universal-suffrage-plan,"131,313",True,Foreign Policy,C.C.,"January 02, 2020"
The United States should formally recognize Taiwan as the independently governed nation it has been for over 60 years.,https://petitions.whitehouse.gov/petition/united-states-should-formally-recognize-taiwan-independently-governed-nation-it-has-been-over-60-years,"129,828",True,Foreign Policy,K.W.,"October 07, 2019"
Reform the police by instituting heavy racial sensitivity training and being held accountable for racial injustices.,https://petitions.whitehouse.gov/petition/reform-police-instituting-heavy-racial-sensitivity-training-and-being-held-accountable-racial-injustices,"129,134",True,"Civil Rights & Equality, Criminal Justice Reform",D.F.,"May 30, 2020"
Expulsion For Maxine Waters - Remove Her From Congress,https://petitions.whitehouse.gov/petition/expulsion-maxine-waters-remove-her-congress,"127,782",True,"Government & Regulatory Reform, Homeland Security & Defense, Immigration",A.M.,"June 25, 2018"
Save the people of Iraq from their corrupt government of the last 16+ years.,https://petitions.whitehouse.gov/petition/save-people-iraq-their-corrupt-government-last-16-years,"126,571",True,Foreign Policy,R.D.,"October 02, 2019"
Stop HK Police sexually assaulting protestors. Please pass the Hong Kong Human Rights and Democracy Act.,https://petitions.whitehouse.gov/petition/stop-hk-police-sexually-assaulting-protestors-please-pass-hong-kong-human-rights-and-democracy-act,"126,193",True,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform",A.H.,"August 29, 2019"
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,https://petitions.whitehouse.gov/petition/stop-collective-punishment-minorities-south-africa,"125,400",True,"Civil Rights & Equality, Foreign Policy",S.H.,"October 12, 2018"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,https://petitions.whitehouse.gov/petition/condemn-indias-denial-justice-victims-november-1984-sikh-genocide,"124,841",True,Foreign Policy,G.P.,"October 27, 2017"
"Make Yu HOI KWAN and her immediate family members ineligible for U.S. Entry, Citizenship and Visas",https://petitions.whitehouse.gov/petition/make-yu-hoi-kwan-and-her-immediate-family-members-ineligible-us-entry-citizenship-and-visas,"124,478",True,"Civil Rights & Equality, Foreign Policy",T.D.,"October 15, 2019"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,https://petitions.whitehouse.gov/petition/over-15-million-american-jobs-jeopardy-upon-change-eb-5-rule-must-re-define-limitations-visa,"123,333",True,Immigration,C.W.,"March 15, 2018"
"Sanction Hong Kong government for its State Terrorism  conducted in Prince Edward train station, Hong Kong on 8/31",https://petitions.whitehouse.gov/petition/sanction-hong-kong-government-its-state-terrorism-conducted-prince-edward-train-station-hong-kong-831,"123,288",True,"Civil Rights & Equality, Foreign Policy",H.K.,"August 31, 2019"
Justice for Jamarion Robinson.,https://petitions.whitehouse.gov/petition/justice-jamarion-robinson-0,"123,215",True,"Civil Rights & Equality, Criminal Justice Reform, Gun Violence",W.W.,"August 08, 2020"
Please pass the bill “Hong Kong Human Rights and Democracy Act”,https://petitions.whitehouse.gov/petition/please-pass-bill-hong-kong-human-rights-and-democracy-act,"121,015",True,"Civil Rights & Equality, Foreign Policy",J.J.,"July 08, 2019"
"Make Kong Wing Cheung and his immediate family members ineligible for U.S. Entry, Citizenship and Visas",https://petitions.whitehouse.gov/petition/make-kong-wing-cheung-and-his-immediate-family-members-ineligible-us-entry-citizenship-and-visas,"120,927",True,Immigration,T.S.,"October 10, 2019"
Please nominate the Hong Kong freedom fighters for the Nobel Peace Prize 2020,https://petitions.whitehouse.gov/petition/please-nominate-hong-kong-freedom-fighters-nobel-peace-prize-2020,"120,879",True,"Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform",A.H.,"August 17, 2019"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,https://petitions.whitehouse.gov/petition/we-people-call-resignation-fcc-chairman-ajit-varadaraj-pai,"120,097",True,"Civil Rights & Equality, Technology & Innovation",G.S.,"November 23, 2017"
Bring our loved ones back from “Al Udeid” Air Base,https://petitions.whitehouse.gov/petition/bring-our-loved-ones-back-al-udeid-air-base,"120,059",True,"Homeland Security & Defense, Veterans & Military",A.R.,"November 18, 2019"
Save the United States Postal Service,https://petitions.whitehouse.gov/petition/save-united-states-postal-service-0,"118,977",True,"Civil Rights & Equality, Economy & Jobs, Transportation & Infrastructure",M.L.,"July 15, 2020"
